id,title,price,genre,publisher,publication_date
1,Tai Chi Zero,$4.19,Action|Fantasy|Sci-Fi|IMAX,Feedspan,19/10/1990
2,Resurrecting the Street Walker,$5.39,Horror,Vipe,17/12/1992
3,Flame and Citron (Flammen & Citronen),$7.36,Action|Drama|War,Yodo,01/03/2002
4,Eraserhead,$3.56,Drama|Horror,Kaymbo,24/11/2016
5,Monsters,$0.06,Drama|Sci-Fi,Topicware,06/10/2022
6,Heavy Petting,$0.59,Documentary,Twiyo,21/12/1999
7,"Undead, The",$3.10,Fantasy|Horror,Vinder,26/03/1999
8,$ellebrity (Sellebrity),$3.15,Documentary,Rhycero,27/10/1991
9,Creep Van,$1.98,Horror,Fivechat,16/10/2004
10,Jingle All the Way 2,$6.18,Children|Comedy,Skinte,11/04/2020
11,Red Beard (Akahige),$8.80,Drama,Mynte,13/09/1993
12,Rough Night in Jericho,$7.76,Western,Vinte,25/10/1994
13,The Miracle of Our Lady of Fatima,$0.66,Drama,Quatz,12/03/2001
14,Battleground,$1.03,Action|Drama|War,Camido,12/08/2007
15,Pine Flat,$1.01,Drama,Voonder,09/06/2021
16,Hit by Lightning,$1.71,Comedy|Crime|Romance,Jabbertype,10/11/2016
17,Italianamerican,$6.82,Documentary,Browsebug,08/10/2021
18,A.K.A. Don Bonus,$2.89,Documentary,Divavu,28/01/2002
19,Artemisia,$2.47,Drama,Wikivu,03/05/2003
20,Kinyarwanda,$7.27,Drama|Romance,Fivebridge,15/07/1996
21,"Good Men, Good Women (Hao nan hao nu)",$0.63,Drama|Romance,Dabvine,23/11/2009
22,Tentacles (Tentacoli),$7.13,Horror|Sci-Fi|Thriller,Trudeo,21/07/2002
23,Bizarre,$1.26,(no genres listed),Rooxo,08/09/2010
24,"V.I.P.s, The",$7.76,Drama,Katz,10/05/1996
25,Pirates of Silicon Valley,$4.33,Documentary|Drama,Avamm,05/07/2016
26,Little Fockers,$2.31,Comedy,Jayo,25/08/2007
27,"Jerk Theory, The",$9.44,Comedy,Brightdog,14/08/2013
28,"Chechahcos, The",$4.26,Adventure|Drama,Twinder,05/06/1998
29,"End of Love, The",$5.96,Drama,Edgetag,04/07/2015
30,"Goddess, The",$0.07,Drama,Divape,19/11/2021
31,"Grave, The",$5.75,Comedy|Horror|Thriller,Vipe,30/12/2018
32,Zathura,$8.24,Action|Adventure|Children|Fantasy,Topicblab,19/08/2008
33,Alien Nation: Millennium,$3.22,Sci-Fi,Yacero,16/11/2010
34,Blue Ruin,$8.81,Thriller,Blogtags,08/08/2006
35,25 Watts,$1.90,Comedy|Drama,Oodoo,05/10/1992
36,Father of the Bride,$0.73,Comedy,Aimbo,17/04/2021
37,5 Fingers,$5.45,Drama|Thriller,Jabbersphere,18/02/2005
38,Of Human Bondage,$9.37,Drama,Ntags,18/07/1993
39,My One and Only,$9.49,Comedy|Drama,Flashdog,04/08/2001
40,Dimensions of Dialogue (Moznosti dialogu),$8.76,Animation|Comedy|Fantasy,Dabtype,11/10/1999
41,"Alien Predator (Mutant II) (Falling, The)",$6.90,Drama|Horror|Sci-Fi,Quinu,24/08/2008
42,In Darkness,$5.22,Drama,Latz,07/01/2011
43,"Sergeant, The",$9.57,Drama,Dynava,09/08/1994
44,Dirty Sanchez: The Movie,$0.85,Comedy,Meedoo,27/04/2014
45,Symmetry (Symetria),$7.53,Crime|Drama,Tagpad,20/03/2012
46,"Passion of Ayn Rand, The",$5.52,Documentary|Drama|Romance,Quaxo,13/05/2017
47,Live from Baghdad,$6.20,Drama|War,Yata,18/06/2015
48,Sharpe's Eagle,$5.87,Action|Adventure|War,Blogpad,16/04/2022
49,"Big Hangover, The",$4.73,Comedy,Tazz,29/04/1997
50,Our Family Wedding,$7.97,Comedy,Minyx,30/12/2006
